phase,relayout,consumer_family,consumer_input_lds,consumer,tensor,fold_factor,data_op,remote_required,logical_tensor_bytes,remote_destination_bytes,local_destination_bytes,expanded_remote_destination_bytes,expanded_local_destination_bytes,source_piece_count,destination_piece_count,remote_destination_core_piece_pairs,local_destination_core_piece_pairs
prefill,Add_QC_3_inpLds_1_MNI_LeafQC-unfold0_0_0_-LxRelayout,Add,1,add_3,mul_out,1,STCDPOpLx,True,4194304,3145728,1048576,3145728,1048576,16,32,32,16
prefill,BatchMatMulV2_QC_0_inpLds_0_MNI_LeafQC-unfold0_0_0_-LxRelayout,BatchMatMulV2,0,mm-BMM_1,mean-LayerNormNorm_out,1,STCDPOpLx,True,4194304,12582912,4194304,12582912,4194304,16,8,32,16
prefill,BatchMatMulV2_QC_12_inpLds_0_MNI_LeafQC-unfold0_0_0_-LxRelayout,BatchMatMulV2,0,bmm_2-BMM_1,bmm_2-actAttnHeadBreak-VirtualReshape_out,38,STCDPOpLx,True,4194304,3145728,1048576,119537664,39845888,32,32,32,32
prefill,BatchMatMulV2_QC_12_inpLds_1_MNI_LeafQC-unfold0_0_0_-LxRelayout,BatchMatMulV2,1,bmm_2-BMM_1,mul_17_out,38,STCDPOpLx,True,1048576,32505856,1048576,1235222528,39845888,32,1,32,32
prefill,BatchMatMulV2_QC_13_inpLds_1_MNI_LeafQC-unfold0_0_0_-LxRelayout,BatchMatMulV2,1,bmm_3-BMM_1,bmm_3-wtAttnHeadBreak-VirtualReshape_out,38,STCDPOpLx,True,1048576,32505856,1048576,1235222528,39845888,32,1,32,32
prefill,BatchMatMulV2_QC_14_inpLds_0_MNI_LeafQC-unfold0_0_0_-LxRelayout,BatchMatMulV2,0,mm_10-BMM_1,view_41-VirtualReshape_out,38,STCDPOpLx,True,4194304,12582912,4194304,478150656,159383552,32,8,32,32
prefill,BatchMatMulV2_QC_15_inpLds_0_MNI_LeafQC-unfold0_0_0_-LxRelayout,BatchMatMulV2,0,mm_11-BMM_1,mean_3-LayerNormNorm_out,38,STCDPOpLx,True,4194304,12582912,4194304,478150656,159383552,32,8,32,32
prefill,BatchMatMulV2_QC_16_inpLds_0_MNI_LeafQC-unfold0_0_0_-LxRelayout,BatchMatMulV2,0,mm_12-BMM_1,mean_3-LayerNormNorm_out,38,STCDPOpLx,True,4194304,12582912,4194304,478150656,159383552,32,8,32,32
prefill,BatchMatMulV2_QC_1_inpLds_0_MNI_LeafQC-unfold0_0_0_-LxRelayout,BatchMatMulV2,0,mm_1-BMM_1,mean-LayerNormNorm_out,1,STCDPOpLx,True,4194304,12582912,4194304,12582912,4194304,16,8,32,16
prefill,BatchMatMulV2_QC_21_inpLds_0_MNI_LeafQC-unfold0_0_0_-LxRelayout,BatchMatMulV2,0,bmm_78-BMM_1,bmm_78-actAttnHeadBreak-VirtualReshape_out,1,STCDPOpLx,True,4194304,3145728,1048576,3145728,1048576,32,32,32,32
prefill,BatchMatMulV2_QC_21_inpLds_1_MNI_LeafQC-unfold0_0_0_-LxRelayout,BatchMatMulV2,1,bmm_78-BMM_1,mul_435_out,1,STCDPOpLx,True,1048576,32505856,1048576,32505856,1048576,32,1,32,32
